s_Id,filename,happen_Dt,happen_Place,kind_Cd,color_Cd,age,weight,notice_No,notice_Sdt,notice_Edt,popfile,process_State,sex_Cd,neuter_Yn,special_Mark,care_Nm,care_Tel,care_Addr,org_Nm,org_Nm_C,officetel
1,http://www.animal.go.kr/files/shelter/2024/04/202405151605537_s.jpg,20240512,정자1길3,[개] 믹스견,베이지,2023(년생),7(Kg),울산-북구-2024-00108,20240515,20240527,http://www.animal.go.kr/files/shelter/2024/04/202405151605537.jpg,보호중,M,N,"귀여운 외모에 입질은 조금 있음, 목줄하면 꼼짝 않다가 소리 지름, 그래도 귀여움",울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543  ,울산광역시,북구,052-241-8083
2,http://www.animal.go.kr/files/shelter/2024/04/202405152305329_s.jpg,20240512,선행리178-2 부근,[개] 푸들,회색,2018(년생),3.12(Kg),인천-강화-2024-00332,20240515,20240527,http://www.animal.go.kr/files/shelter/2024/04/202405152305329.jpg,보호중,M,N,온순함,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러) ",인천광역시,강화군,032-930-4533
3,http://www.animal.go.kr/files/shelter/2024/04/202405151305812_s.jpg,20240512,감천항로 527,[개] 믹스견,흰색,2020(년생),15(Kg),부산-사하-2024-00123,20240515,20240527,http://www.animal.go.kr/files/shelter/2024/04/202405151305812.jpg,보호중,M,U,소방 접수,(사)하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동) ,부산광역시,사하구,051-220-4475
4,http://www.animal.go.kr/files/shelter/2024/04/202405141005726_s.jpg,20240512,노화북초리,[개] 믹스견,검정,2022(년생),10(Kg),전남-완도-2024-00130,20240514,20240524,http://www.animal.go.kr/files/shelter/2024/04/202405141005726.jpg,보호중,F,N,검정,유기동물임시보호센터,061-550-5749,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,전라남도,완도군,061-550-5740
5,http://www.animal.go.kr/files/shelter/2024/04/202405141005814_s.jpg,20240512,노화읍노화로,[개] 믹스견,흰색,2021(년생),10(Kg),전남-완도-2024-00129,20240514,20240524,http://www.animal.go.kr/files/shelter/2024/04/202405141005814.jpg,보호중,F,N,흰색,유기동물임시보호센터,061-550-5749,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,전라남도,완도군,061-550-5740
6,http://www.animal.go.kr/files/shelter/2024/04/202405141505593[2]_s.jpg,20240512,부안읍 부안관광 차고지,[개] 믹스견,흰색,2016(년생),15(Kg),전북-부안-2024-00284,20240514,20240529,http://www.animal.go.kr/files/shelter/2024/04/202405141505593[2].jpg,보호중,M,N,귀 쫑긋하면 씩씩해보임. ,부안군 동물보호센터,063-580-4499,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,전북특별자치도,부안군,063-580-4499
7,http://www.animal.go.kr/files/shelter/2024/04/202405141505617_s.jpg,20240512,부안읍 부안관광 차고지,[개] 믹스견,흰색,2024(년생),4(Kg),전북-부안-2024-00283,20240514,20240529,http://www.animal.go.kr/files/shelter/2024/04/202405141505617.jpg,보호중,M,N,다리가 길어보이며 귀가 길쭉해 보임. ,부안군 동물보호센터,063-580-4499,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,전북특별자치도,부안군,063-580-4499
8,http://www.animal.go.kr/files/shelter/2024/04/20240514080588_s.jpg,20240512,충남 금산군 남일면 봉황로 291-18,[개] 스피츠,흰색,2021(년생),20(Kg),충남-금산-2024-00124,20240514,20240524,http://www.animal.go.kr/files/shelter/2024/04/20240514080588.jpg,보호중,M,U,체중 약 10㎏,제일동물병원,041-751-3739,충청남도 금산군 금산읍 비단로 59  ,충청남도,금산군,041-750-2582
9,http://www.animal.go.kr/files/shelter/2024/04/202405141005846_s.jpg,20240512,증평읍 사곡리 488-2,[개] 믹스견,"흰색, 확색",2024(60일미만)(년생),2(Kg),충북-증평-2024-00029,20240514,20240524,http://www.animal.go.kr/files/shelter/2024/04/202405141005846.jpg,보호중,M,N,건강함,가정견훈련소,010-3169-1151,충청북도 증평군 도안면 입장길 239  ,충청북도,증평군,043-835-3454
10,http://www.animal.go.kr/files/shelter/2024/04/202405130905981_s.jpg,20240512,옥원노곡길25 도로 인근,[개] 믹스견,"흰,갈색",2024(년생),4(Kg),강원-삼척-2024-00075,20240514,20240524,http://www.animal.go.kr/files/shelter/2024/04/202405130905981.jpg,보호중,F,N,순함,삼척시동물보호센터,033-571-2610,강원도 삼척시 미로면 동안로 86-45  ,강원특별자치도,삼척시,033-571-2610
