,보호소이름,상세주소,주소,위도,경도
0,울산유기동물보호센터,울산광역시 울주군 온양읍 화산발리로 543  ,울산광역시 울주군 온양읍 화산발리로 543  ,35.38144,129.28532
1,베스트동물병원,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러) ","인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러) ",0.0,0.0
2,(사)하얀비둘기,부산광역시 강서구 제도로 726 (강동동) ,부산광역시 강서구 제도로 726 (강동동) ,35.2145482,128.9352717
3,유기동물임시보호센터,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,0.0,0.0
4,유기동물임시보호센터,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,0.0,0.0
5,부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,0.0,0.0
6,부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,0.0,0.0
7,제일동물병원,충청남도 금산군 금산읍 비단로 59  ,충청남도 금산군 금산읍 비단로 59  ,36.1098015,127.4902537
8,가정견훈련소,충청북도 증평군 도안면 입장길 239  ,충청북도 증평군 도안면 입장길 239  ,0.0,0.0
9,삼척시동물보호센터,강원도 삼척시 미로면 동안로 86-45  ,강원도 삼척시 미로면 동안로 86-45  ,37.4241195,129.1106255
10,구리반려동물문화센터,경기도 구리시 동구릉로136번길 57 (인창동) 2층,경기도 구리시 동구릉로136번길 57 (인창동) 2층,0.0,0.0
11,유기동물및관리협회,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,0.0,0.0
12,유기동물및관리협회,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,0.0,0.0
13,종합축산,경상북도 문경시 중앙로 170 (흥덕동) 종합축산,경상북도 문경시 중앙로 170 (흥덕동) 종합축산,0.0,0.0
14,나주유기동물보호센터,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,0.0,0.0
15,나주유기동물보호센터,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,0.0,0.0
